NAME,ABBREVIATION,DESCRIPTION,PARENT,DEPTH,DEPARTMENT
Department of Public Defense (DPD),DPD,Mission Statement: To protect the rights of individuals who are entitled to counsel at public expense.,KCEO - Operations,1,Department of Public Defense (DPD)
Department of Public Health (DPH),DPH,"The Mission of Public Health — Seattle & King County is to identify and promote the conditions under which all people can live within healthy communities and can achieve optimum health. Its goal is to protect and improve the health and well-being of all people in King County, as defined by per person healthy years lived. Whenever possible, employ strategies, policies and interventions to reduce health disparities.",KCEO - Operations,1,Department of Public Health (DPH)
Department of Transportation (DOT),DOT,"To improve the quality of life for the citizens of King County by providing mobility in a way that protects the environment, helps to manage growth and reduces traffic congestion.",NA,1,Department of Transportation (DOT)
KCC - Council IT,NA,NA,KCC - Council Administration,1,KCC - Council IT
King County District Court (KCDC),KCDC,"King County District Court consists of 3 Divisions - East, West and South - with 8 geographic courthouse locations within those 3 Divisions (Auburn, Bellevue, Burien, Issaquah, Kent, Redmond, Shoreline and the King County Courthouse downtown Seattle.  The Distric",The Electorate of King County,1,King County District Court (KCDC)
King County Executive Office (KCEO),KCEO,The Executive Branch of King County government.,The Electorate of King County,1,King County Executive Office (KCEO)
King County Housing Authority (KCHA),KCHA,King County Housing Authority is a separate entity and not part of King County government.  Please call them directly.,NA,1,King County Housing Authority (KCHA)
King County Prosecuting Attorney Office (PAO),PAO,The Deputy Prosecuting Attorneys in this office represent either the People of the State of Washington or King County (in criminal matters) or the government of King County (in civil matters).,The Electorate of King County,1,King County Prosecuting Attorney Office (PAO)
King County Sheriffs Office (SHERIFF),SHERIFF,"The Mission of the King County Sheriffs Office is to provide quality, professional, regional law enforcement services tailored to individual communities to improve public safety.",The Electorate of King County,1,King County Sheriffs Office (SHERIFF)
King County Superior Court (KCSC),KCSC,"Our Mission:  To serve the public by ensuring justice through accessible and effective forums for the fair, just, understandable, and timely resolution of legal matters.",The Electorate of King County,1,King County Superior Court (KCSC)
State Auditor's Office (SAO),SAO,"Provides Single Audit (federal grant compliance), financial statement audit, performance audit, state and local legal compliance audit, and audit of stewardship and accountability over public assets.",The Electorate of King County,1,State Auditor's Office (SAO)
DAJD - Community Corrections Division (CCD),DAJD CCD,"The Community Corrections Division provides the courts with a variety of options for pre-trial and sentenced offenders, including the Community Center for Alternative Programs, Community Work Program, Electronic Home Detention and Work/Education Release and Helping Hands.",Department of Adult and Juvenile Detention (DAJD),2,Department of Adult and Juvenile Detention (DAJD)
DAJD - Division Facility Commanders Office (Kent),NA,"The King County Regional Justice Center-Detention Facility (RJC-DF) direct supervision facility located at 620 West James Street in Kent opened its doors on March 24, 1997. Bed capacity for the fourteen unit facility is 1,388; correctional staff number ov",Department of Adult and Juvenile Detention (DAJD),2,Department of Adult and Juvenile Detention (DAJD)
DAJD - Division Facility Commanders Office (Seattle),NA,"The King County Jail, Seattle Division is located at 500 Fifth Avenue, Seattle, Wa. The facility became operational in 1986. Bed capacity for the facility is 1697; correctional staff number over 350.",Department of Adult and Juvenile Detention (DAJD),2,Department of Adult and Juvenile Detention (DAJD)
DAJD - Juvenile Division,NA,"The Department of Adult and Juvenile Detention, Juvenile Division, is responsible for the care and custody of youth who are detained in the Youth Services Center. Youth may be detained for the following reasons: an arrest for allegedly committing an offen",Department of Adult and Juvenile Detention (DAJD),2,Department of Adult and Juvenile Detention (DAJD)
DOA - Accounting Division (AD),DOA AD,NA,Department of Assessments (DOA),2,Department of Assessments (DOA)
DOA - Administrative Services Division (ASD),DOA ASD,NA,Department of Assessments (DOA),2,Department of Assessments (DOA)
DOA - Commercial/Business Property Division (CBPD),DOA CBPD,Commercial Real Estate Appraisal and Business Personal Property Appraisal.,Department of Assessments (DOA),2,Department of Assessments (DOA)
DOA - Information Services Division,NA,Computer information systems and programming.,Department of Assessments (DOA),2,Department of Assessments (DOA)
DOA - Residential Division,NA,Residential Appraisal,Department of Assessments (DOA),2,Department of Assessments (DOA)
DCHS - Developmental Disabilities Division (DDD),DCHS DDD,"The Developmental Disabilities Division assists people with developmental disabilities and their families with child development, family resource coordination, employment services, community access opportunities, and community support programs.",Department of Community and Human Services (DCHS) Director's Office,2,Department of Community and Human Services (DCHS) Director's Office
DCHS/Behavioral Health and Recovery Division (BHRD),DCHS BHRD,"The mission of the King County Behavioral Health and Recovery Division (BHRD) is to insure that persons with severe mental illness and substance use issues have access to a system of care within the community which is comprehensive,",Department of Community and Human Services (DCHS) Director's Office,2,Department of Community and Human Services (DCHS) Director's Office
DCHS/Community Services Division - Director's Office,NA,NA,Department of Community and Human Services (DCHS) Director's Office,2,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/Housing and Community Development (HCD),DCHS CSD HCD,"HCD strives to create and preserve decent affordable housing; to house the homeless; and to make other community investments which improve the livability of King County communities, especially for low- and moderate-income residents. HCDs programs operate",Department of Community and Human Services (DCHS) Director's Office,2,Department of Community and Human Services (DCHS) Director's Office
DCHS/Employment and Education Resources (EER),DCHS EER,King County Employment and Education Resources provides services that help youth and adults prepare for successful careers. We assist people in building the solid foundations necessary for success in todays work world.,Department of Community and Human Services (DCHS) Director's Office,2,Department of Community and Human Services (DCHS) Director's Office
ELECTIONS - Ballot Processing & Delivery,NA,Election ballot processing and delivery,Department of Elections,2,Department of Elections
ELECTIONS - Election Operations,NA,"Administers all public elections within King County.  Maintains and provides information about election results, including historical election data.",Department of Elections,2,Department of Elections
ELECTIONS - Outreach,NA,"Language Services in Chinese, Korean, Spanish and Vietnamese, Community Engagement, voter education",Department of Elections,2,Department of Elections
ELECTIONS - Technical Services,NA,"TECHNICAL SERVICES
 (Information Technology & Geographic Information Systems)",Department of Elections,2,Department of Elections
ELECTIONS - Voter Services,NA,"Provides voter registration services for citizens living within King County.  Provides accurate pollbook data for each election.  Provides voter lists, both electronic and paper to internal and external customers.  Provides polling place information.",Department of Elections,2,Department of Elections
DES - Board of Ethics,NA,"The King County Board of Ethics is a five-member citizen advisory, administrative and quasi-judicial board. Authorized by K.C.C. 3.04, the Board’s purpose is to ensure proper implementation of the Code of Ethics and to interpret the code through advisory opinions.  The Board’s mission is to ensure the highest standards of public service by developing, disseminating, and promoting readily understandable ethics requirements for King County employees and agencies.",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES - Business Resource Center (BRC),DES BRC,"The BRC is the division within the Department of Executive Services (DES) responsible for providing the functional and technical support for King County’s PeopleSoft, Oracle EBS and Hyperion systems.",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES - Facilities Management Division (FMD),DES FMD,"Our mission statement: Manage and operate the Counties capital assets by developing and maintaining cost conscious, sustainable, quality facilites and environments.",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES - Finance & Business Operations Division (FBO),DES FBO,"MISSION: To provide fast, accurate, useful and professional financial services for the citizens and governments of King County.
The Finance and Business Operations Division provides an infrastructure of financial information and processes that provide a f",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES - Human Resources Division (HRD),DES HRD,"Our Mission: We provide the foundation of support in recruiting, hiring, developing, and retaining a quality workforce capable of meeting needs of residents now and in the future.",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES - Office of Civil Rights (OCR),DES OCR,"The King County Office of Civil Rights (OCR) enforces the King County Fair Employment, Fair Housing, Fair Public Accommodations, Fair Contracting ordinances and Title VI compliance.  OCR works to ensure that King County government programs, facilities, and services are accessible for members of the public who have disabilities.",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES - Office of Emergency Management,NA,"Our mission is to promote disaster resistant communities through excellence in service and partnerships. This includes preparing for disasters by planning, training and conducting disaster simulations with other King County departments and regional partners.",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES - Records and Licensing Services Division (RALS),DES RALS,"Division within Department of Executive Services that handles records, recording, for-hire driver licensing, marriage licensing, pet licensing, animal control, animal programs, mail services and the King County public information line.",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES - Risk Management (RM),DES RM,"Claims Against County Agencies; Claims Against Metro Transit; Recovery Claims,Insurance Contracts & Contract Review (Risk Management; Insurance (County); Loss Prevention/Control",Department of Executive Services (DES),2,Department of Executive Services (DES)
DES/FMD - Real Estate Services Section,NA,"Real Estate Services is a Section of the Facilities Management Division. We provide a number of functions for all of King County including acquiring, selling, inventorying, leasing, and managing real property including those properties which the County manages in a trust capacity",Department of Executive Services (DES),2,Department of Executive Services (DES)
DJA - Caseflow and Court Clerk Division (CCCD),DJA CCCD,"As the Superior Court Clerks Office, DJA performs a variety of duties and provides many services for the Court, litigants, and the public.",Department of Judicial Administration (DJA),2,Department of Judicial Administration (DJA)
DJA - Customer and Financial Services Division (CFSD),DJA CFSD,"This division encompasses cashiering, receipt of funds and new case filings; processing of civil judgments; Collections of Criminal Legal Financial Obligations; and accounting and disbursement of funds for the King County Superior Court Clerk or Departmen",Department of Judicial Administration (DJA),2,Department of Judicial Administration (DJA)
DJA - Drug Diversion Court Program,NA,King County Drug Diversion Court Program supports substance-abusing offenders in breaking the cycle of addiction and the crimes that accompany it by combining effective treatment and intensive judicial supervision.,Department of Judicial Administration (DJA),2,Department of Judicial Administration (DJA)
DJA - Juvenile Division,NA,NA,Department of Judicial Administration (DJA),2,Department of Judicial Administration (DJA)
DJA - Regional Justice Center (RJC),DJA RJC,"The Superior Court Clerks office at the Regional Justice Center is where new cases are initiated and those within the Kent assignment area are housed.  We process documents and maintain the court records, maintain specific daily calendars, provide access",Department of Judicial Administration (DJA),2,Department of Judicial Administration (DJA)
DJA - Technology Services Division (TSD),DJA TSD,"The purpose of TSD is to provide technology support and guidance for key applications such as ECR (Electronic Court Records) and e-Filing. Support and technical strategy is also provided for DJA databases, network connectivity, server and desktop systems.",Department of Judicial Administration (DJA),2,Department of Judicial Administration (DJA)
DNRP - Community Service Area Program (CSA),DNRP CSA,NA,Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Director's Office Human Resources,NA,NA,Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Finance and Administration Unit,NA,"The DNRP Director's Office Finance Unit coordinates the development of financial policies, budgets and utility rates for the Department's various enterprises and lines of business.  Staff in the Finance Unit assist DNRP divisions' finance staff in preparation of budget.",Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Historic Preservation Program,NA,The Historic Preservation Program provides programs and services related to the preservation and enhancement of significant historic and archaeological resources in unincorporated King County and in many of the cities in the county.,Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Parks and Recreation Division (PARKS),DNRP PARKS,"The King County Parks and Recreation Division is a regional provider of parks, trails, open space, and aquatics center. These public recreational assets and protected natural areas enhance our region’s quality of life and preserve this public lands legacy for future generations of King County residents.",Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Policy Unit,NA,"The Policy Unit encompasses water reuse, land acquisition and land management, sustainable building, air quality, energy, regional policy, and work on the King County comprehensive plan.",Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Public Affairs Unit,NA,"The Public Affairs Unit provides communication tools, consulting and coordination to support DNRPs communication efforts, both Department-wide and on an individual program basis.  The Public Affairs Unit handles all media relations for DNRP.",Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Solid Waste Division (SWD) - Director's Office,DNRP SWD,"The Division Director’s office includes the Division Director, Assistant Director and their support staff. This group also includes Human Resources, Safety, Strategy, Communications and Performance, as well as, Intergovernmental Relations.",Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Wastewater Treatment Division (WTD) Directors Office,DNRP WTD,"To protect public health and the environment by: Conveying, treating and reclaiming wastewater and by-products. Operating and maintaining wastewater facilities. Planning to meet future wastewater needs.",Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DNRP - Water and Land Resources Division (WLRD),DNRP WLRD,"The Water and Land Resources Division works in partnerships to: sustain healthy watersheds; protect wastewater systems; minimize flood hazards; protect public health and water quality; preserve open space, working farms, and forests.",Department of Natural Resources and Parks (DNRP),2,Department of Natural Resources and Parks (DNRP)
DPER - Assistant Director for Permitting,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Code Enforcement,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Code Update/GMA,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Commercial,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Customer Services,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Director,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Finance,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Human Resource,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Permit Integration,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Permitting Services,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Resource,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Senior Management Analysis,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Single Family,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
DPER - Urban,NA,NA,Department of Permitting and Environmental Review (DPER),2,Department of Permitting and Environmental Review (DPER)
Associated Counsel for the Accused Division (ACAD),ACAD,We provide legal help to people who are accused of a crime and cannot afford an attorney.,Department of Public Defense (DPD),2,Department of Public Defense (DPD)
Northwest Defenders Division (NDD),NDD,We provide legal help to people who are accused of a crime and cannot afford an attorney.,Department of Public Defense (DPD),2,Department of Public Defense (DPD)
Society of Counsel Representing Accused Persons Division (SCRAPD),SCRAPD,We provide legal help to people who are accused of a crime and cannot afford an attorney.,Department of Public Defense (DPD),2,Department of Public Defense (DPD)
The Defender Association Division (TDAD),TDAD,We provide legal help to people who are accused of a crime and cannot afford an attorney.,Department of Public Defense (DPD),2,Department of Public Defense (DPD)
"DPH - Assessment, Policy Development and Evaluation Unit (APDE)",DPH APDE,"The Assessment, Policy Development and Evaluation Unit (APDE) performs assessment and evaluation of population-based data and interventions, integrating qualitative analysis, and policy development. We are a multidisciplinary group of epidemiologists, social research scientists, and policy specialists. We collaborate with community and other Public Health - Seattle & King County departments, using and developing state-of-the-art techniques for data collection and analysis. Our goal is to provide leadership and technical assistance for population-level health assessment, data-driven program planning, program evaluation, and policy.",Department of Public Health (DPH),2,Department of Public Health (DPH)
DPH - Communications Team,NA,NA,Department of Public Health (DPH),2,Department of Public Health (DPH)
DPH - Community Health Services Division (CHSD),DPH CHSD,Health Department services are provided at Public Health Centers located in Seattle and King County.  Contact the Center nearest you for more information.,Department of Public Health (DPH),2,Department of Public Health (DPH)
DPH - Emergency Medical Services Division (EMS),DPH EMS,"Emergency Medical Services is dedicated to providing the highest quality pre-hospital patient care to citizens of King County.  EMS is comprised of King County Medic One, emergency medical technician, CPR, emergency medical dispatch, and injury prevention",Department of Public Health (DPH),2,Department of Public Health (DPH)
DPH - Environmental Health Services Division (EHD),DPH EHD,"The Environmental Health Services Division focuses on prevention of disease through sanitation, safe food and water, proper disposal of wastes and toxics, and promoting safe and healthy environmental conditions throughout King County for the benefit of all residents and visitors.",Department of Public Health (DPH),2,Department of Public Health (DPH)
DPH - Finance and Administrative Services Division (FASD),DPH FASD,"Provides information, technical assistance, consultation and support to Public Health employees.",Department of Public Health (DPH),2,Department of Public Health (DPH)
DPH - Preparedness Section,NA,NA,Department of Public Health (DPH),2,Department of Public Health (DPH)
DPH - Prevention Division (PD),DPH PD,To prevent and control disease and to promote the adoption and maintenance of healthy behaviors,Department of Public Health (DPH),2,Department of Public Health (DPH)
DOT - Airport Division (AD),DOT AD,"The King County Airport is among the most active and diverse general aviation airports in the country.  The airport was originally constructed in 1928 to support the efforts of the Boeing Company and today also serves cargo companies, recreational flyers,",Department of Transportation (DOT),2,Department of Transportation (DOT)
DOT - Deputy Directors Office (DDO),DOT DDO,"To improve the quality of life for the citizens of King County by providing mobility in a way that protects the environment, helps to manage growth and reduces traffic congestion.",Department of Transportation (DOT),2,Department of Transportation (DOT)
DOT - Fleet Administration Division (Fleet),NA,"Provide fleet management service administration to King County departments, Take-Home Vehicle Assignments, Fuel Management, Odometer Reading Updates, Vehicle Acquisition and Maintenance, Personal Property Surplus and Inventory.",Department of Transportation (DOT),2,Department of Transportation (DOT)
DOT - Marine Division (MD),DOT MD,"The Marine Division, created in 2008, manages two passenger-only water taxi routes for King County:

The West Seattle/Downtown Seattle route and the Vashon Island/Downtown Seattle route.",Department of Transportation (DOT),2,Department of Transportation (DOT)
DOT - Road Services Division  (RSD),DOT RSD,Road Services Division provides road services for citizens of King County,Department of Transportation (DOT),2,Department of Transportation (DOT)
DOT/Transit - General Manager (GM),DOT GM,Use the web link on this page to see the list of Metro Assistance Phone Numbers.,Department of Transportation (DOT),2,Department of Transportation (DOT)
"KCDC - East Division, Bellevue Courthouse",NA,DISTRICT COURT,King County District Court (KCDC),2,King County District Court (KCDC)
"KCDC - East Division, Issaquah Courthouse",NA,DISTRICT COURT,King County District Court (KCDC),2,King County District Court (KCDC)
"KCDC - East Division, Redmond Courthouse",NA,DISTRICT COURT,King County District Court (KCDC),2,King County District Court (KCDC)
KCDC - Payment Center/CPU,NA,NA,King County District Court (KCDC),2,King County District Court (KCDC)
KCDC - Probation Services Division (PSD),KCDC PSD,"DISTRICT COURT
(see also:  Kent Probation, Issaquah Probation, Shoreline Probation, Seattle Probation)",King County District Court (KCDC),2,King County District Court (KCDC)
"KCDC - South Division, Auburn Courthouse",NA,DISTRICT COURT,King County District Court (KCDC),2,King County District Court (KCDC)
"KCDC - South Division, Burien Courthouse",NA,DISTRICT COURT,King County District Court (KCDC),2,King County District Court (KCDC)
"KCDC - South Division, MRJC Courthouse",NA,DISTRICT COURT,King County District Court (KCDC),2,King County District Court (KCDC)
"KCDC - West Division, Seattle Courthouse",NA,DISTRICT COURT,King County District Court (KCDC),2,King County District Court (KCDC)
KCEO - Equity and Social Justice,NA,NA,King County Executive Office (KCEO),2,King County Executive Office (KCEO)
KCEO - Office of Labor Relations,NA,"To provide effective labor relations technical advice, consultation and direct services to County agencies and departments supporting collaborative relationships with unions and the achievement of the County''s goals and objectives.",King County Executive Office (KCEO),2,King County Executive Office (KCEO)
"KCEO - Office of Performance, Strategy and Budget",NA,"The annual Budget reflects King County Executive Dow Constantine's vision of meeting the regional needs of King County. This includes assessing the demands, making good use of limited resources and looking at the region as a whole.",King County Executive Office (KCEO),2,King County Executive Office (KCEO)
"KCEO - Office of Performance, Strategy and Budget (PSB)",KCEO PSB,"The annual Budget reflects King County Executive Dow Constantine's vision of meeting the regional needs of King County. This includes assessing the demands, making good use of limited resources and looking at the region as a whole.",King County Executive Office (KCEO),2,King County Executive Office (KCEO)
KCEO - Operations,NA,NA,King County Executive Office (KCEO),2,King County Executive Office (KCEO)
KCEO - Policy & Strategy (PS),KCEO PS,NA,King County Executive Office (KCEO),2,King County Executive Office (KCEO)
Fraud,NA,NA,King County Prosecuting Attorney Office (PAO),2,King County Prosecuting Attorney Office (PAO)
PAO - Civil Division,NA,"The Civil Division is the county's in-house law firm. It serves as legal counsel to the Metropolitan King County Council, the County Executive and all Executive departments, the Sheriff, the Superior and District Courts, the County Assessor, certain indep",King County Prosecuting Attorney Office (PAO),2,King County Prosecuting Attorney Office (PAO)
PAO - Criminal Division (CR),PAO CR,The Criminal Division is the largest of four divisions in the King County Prosecutors Office and is organized into several different units and sections.  At the core of the attorney structure is an Executive Committee comprising the Division Chief and sen,King County Prosecuting Attorney Office (PAO),2,King County Prosecuting Attorney Office (PAO)
PAO - Family Support Division (FSD),PAO FSD,The Family Support Division of the King County Prosecuting Attorneys office is open Monday through Friday 8:30 a.m. to 4:30 p.m.  Paternity interviews are held from 8:30 a.m. to 3:30 p.m.  An appointment is not necessary. Our telephone number in Seattle is 206-296-9020.,King County Prosecuting Attorney Office (PAO),2,King County Prosecuting Attorney Office (PAO)
SHERIFF - Criminal Investigation Division (CID),SHERIFF CID,NA,King County Sheriffs Office (SHERIFF),2,King County Sheriffs Office (SHERIFF)
SHERIFF - King County Airport Police (ARFF),SHERIFF ARFF,"In 1999, the King County Sheriff’s Office and the King County Department of Transportation entered into a partnership to provide a unique combination of services to the King County International Airport (KCIA). The KCIA needed to meet both policing and fi",King County Sheriffs Office (SHERIFF),2,King County Sheriffs Office (SHERIFF)
SHERIFF - Patrol Operations Division (POD),SHERIFF POD,NA,King County Sheriffs Office (SHERIFF),2,King County Sheriffs Office (SHERIFF)
SHERIFF - Technical Services Division (Tech Svcs),NA,"In 2000, the KCSO continued to develop and use technology that reduced paperwork, saved time, and helped us to solve crimes. We emphasized new technologies that enable us to share information with other law enforcement and criminal justice agencies.",King County Sheriffs Office (SHERIFF),2,King County Sheriffs Office (SHERIFF)
SHERIFF/Professional Standards - Personnel Unit,NA,NA,King County Sheriffs Office (SHERIFF),2,King County Sheriffs Office (SHERIFF)
KCSC - Family Court Operations (FCO),KCSC FCO,NA,King County Superior Court (KCSC),2,King County Superior Court (KCSC)
KCSC - Juvenile Court Services - JCS,NA,"Juvenile Court Services encompasses Probation Services Division, Juvenile Services Division, Juvenile Justice Grants, JAIBG Manager and Reclaiming Futures Project Director",King County Superior Court (KCSC),2,King County Superior Court (KCSC)
KCSC - Regional Justice Center (RJC),KCSC RJC,NA,King County Superior Court (KCSC),2,King County Superior Court (KCSC)
KCSC - Superior Court Administration (SCA),KCSC SCA,"Mission Statement: To serve the public by ensuring justice through accessible and effective forums for the fair, just, understandable, and timely resolution of legal matters.",King County Superior Court (KCSC),2,King County Superior Court (KCSC)
KCSC - Superior Court Judges (SCJ),KCSC SCJ,"To serve the public by ensuring justice through accessible and effective forums for the fair, just, understandable, and timely resolution of legal matters.",King County Superior Court (KCSC),2,King County Superior Court (KCSC)
KCSC - Superior Court Operations (SCO),KCSC SCO,NA,King County Superior Court (KCSC),2,King County Superior Court (KCSC)
DAJD/CCD - Community Center for Alternative Programs,NA,"CCAP, formerly Day Reporting, holds offenders accountable to a weekly itinerary directed at involving the offender in a continuum of structured programs.",DAJD - Community Corrections Division (CCD),3,Department of Adult and Juvenile Detention (DAJD)
DAJD/CCD - Community Work Program,NA,"CWP currently allows District Court to sentence offenders to work crews to perform supervised manual labor for various public service agencies.  The program is designed to provide a diversion from jail for low-level, low-risk offenders and a visible restitution to the community. 

If you need to contact someone from CWP, the best way to do so is by calling our main line below or email us at WorkCrew@kingcounty.gov.",DAJD - Community Corrections Division (CCD),3,Department of Adult and Juvenile Detention (DAJD)
DAJD/CCD - Helping Hands Program,NA,"The Helping Hands Program assists persons, sentenced in King County Superior Court to perform court-ordered community service, find a site to complete their hours of service and monitors compliance for cases NOT supervised by the Washington State Department of Corrections.",DAJD - Community Corrections Division (CCD),3,Department of Adult and Juvenile Detention (DAJD)
DAJD/CCD - Intake Services Unit,NA,The ISU provides information to the court to expedite the release of appropriate defendants awaiting adjudication or to ensure that offenders are not incarcerated when other appropriate alternatives are available. ISU implements administrative court order.,DAJD - Community Corrections Division (CCD),3,Department of Adult and Juvenile Detention (DAJD)
DAJD/CCD - Work & Education Release /  Electronic Home Detention,NA,"WER is an alcohol and drug free residential alternative where offenders go to work, school, or treatment during the day and return to a secure facility at night. Offenders who work at night are required to spend the day at the facility.",DAJD - Community Corrections Division (CCD),3,Department of Adult and Juvenile Detention (DAJD)
DOA/AD - Abstract Section,NA,"This unit processes segregation, merging and platting of property making sure the legal descriptions are written correctly.",DOA - Accounting Division (AD),3,Department of Assessments (DOA)
DOA/AD - Appeals Section,NA,NA,DOA - Accounting Division (AD),3,Department of Assessments (DOA)
DOA/AD - Exemptions Section,NA,NA,DOA - Accounting Division (AD),3,Department of Assessments (DOA)
DOA/AD - Mapping Section,NA,Develops and maintains the Assessors maps.,DOA - Accounting Division (AD),3,Department of Assessments (DOA)
DOA/AD - Support Section,NA,This division handles the data entry processing within the Department.,DOA - Accounting Division (AD),3,Department of Assessments (DOA)
DOA/ASD - Public Information Section,NA,NA,DOA - Administrative Services Division (ASD),3,Department of Assessments (DOA)
DOA/CBPD - Audit and Geographic Section,NA,NA,DOA - Commercial/Business Property Division (CBPD),3,Department of Assessments (DOA)
DOA/CBPD - Floating/Mobile Section,NA,NA,DOA - Commercial/Business Property Division (CBPD),3,Department of Assessments (DOA)
DOA/CBPD - Leased Equipment/Data Control Section,NA,NA,DOA - Commercial/Business Property Division (CBPD),3,Department of Assessments (DOA)
DCHS/BHRD - Alcohol and Other Drug Prevention,NA,NA,DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/BHRD - Behavioral Health Clinical and Quality Management,NA,NA,DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
