AGENCY_NAME,FOCUS,TYPE,ACRONYM
State Law Library (SLL),Law Library,State,SLL
Legislative Ethics Board (LEB),NA,NA,LEB
Legislative Evaluation and Accountability Program Committee (LEAP),NA,NA,LEAP
Legislature Customer Service Center (LEGCS),NA,NA,LEGCS
State Legislature (LEG),Legislature,State,LEG
State Library (LIB),Library,State,LIB
Department of Licensing (DOL),Licensing,Department of,DOL
Office of Lieutenant Governor (LTGOV),Lieutenant Governor,Office of,LTGOV
Life Sciences Discovery Fund Authority (LSDFA),NA,NA,LSDFA
Liquor and Cannabis Board (LCB),NA,NA,LCB
Washington State Lottery (LOTTERY),Lottery,Washington State,LOTTERY
Medical Quality Assurance Commission (MQAC),NA,NA,MQAC
Military Department (MIL),NA,NA,MIL
State Minority and Justice Commission (MJC),Minority and Justice Commission,State,MJC
Office of Minority and Women's Business Enterprises (OMWBE),Minority and Women's Business Enterprises,Office of,OMWBE
Forum on Monitoring Salmon Recovery and Watershed Health (MSRWH),Monitoring Salmon Recovery and Watershed Health,Forum on,MSRWH
Commission for National and Community Service (WCNCS),National and Community Service,Commission for,WCNCS
Department of Natural Resources (DNR),Natural Resources,Department of,DNR
Northwest Cherries (CHERRY),NA,NA,CHERRY
Northwest Indian Fisheries Commission (NWIFC),NA,NA,NWIFC
Northwest Power and Conservation Council (NPCC),NA,NA,NPCC
Nursing Care Quality Assurance Commission (NCQAC),NA,NA,NCQAC
Office of the Family and Children's Ombuds (OFCO),Ombuds,Office of the Family and Children's,OFCO
Office of the Education Ombudsman (OEO),Ombudsman,Office of the Education,OEO
Open Government Ombudsman (OGO),Ombudsman,Open Government,OGO
State Parks and Recreation Commission (PARKS),Parks and Recreation Commission,State,PARKS
Select Committee on Pension Policy (SCPP),Pension Policy,Select Committee on,SCPP
Personnel Resources Board (PRB),NA,NA,PRB
State Commission on Pesticide Registration (WSCPR),Pesticide Registration,State Commission on,WSCPR
Board of Pharmacy (BOP),Pharmacy,Board of,BOP
Board of Pilotage Commissioners (PILOTAGE),Pilotage Commissioners,Board of,PILOTAGE
Pollution Control Hearings Board (PCHB),NA,NA,PCHB
Washington State Pollution Liability Insurance Agency (PLIA),Pollution Liability Insurance Agency,Washington State,PLIA
Potato Commission (POTATO),NA,NA,POTATO
Productivity Board (PB),NA,NA,PB
Professional Educator Standards Board (PESB),NA,NA,PESB
Board of Psychology (PSYCH),Psychology,Board of,PSYCH
Office of Public Defense (OPD),Public Defense,Office of,OPD
Public Deposit Protection Commission (PDPC),NA,NA,PDPC
Public Disclosure Commission (PDC),NA,NA,PDC
Public Employees Benefits Board Program (PEBB),NA,NA,PEBB
Public Employment Relations Commission (PERC),NA,NA,PERC
Office of Superintendent of Public Instruction (OSPI),Public Instruction,Office of Superintendent of,OSPI
Washington State Institute for Public Policy (WSIPP),Public Policy,Washington State Institute for,WSIPP
Public Works Board (PWB),NA,NA,PWB
Puget Sound Partnership (PSP),NA,NA,PSP
Puget Sound Salmon Commission (GILLNET),NA,NA,GILLNET
Real Estate Appraiser Commission (REAC),NA,NA,REAC
Real Estate Commission (REC),NA,NA,REC
Recreation and Conservation Office (RCO),NA,NA,RCO
Red Raspberry Commission (RASP),NA,NA,RASP
State Redistricting Commission (RDC),Redistricting Commission,State,RDC
Governor's Office for Regulatory Innovation and Assistance (ORIA),Regulatory Innovation and Assistance,Governor's Office for,ORIA
Results Washington,NA,NA,NA
Department of Retirement Systems (DRS),Retirement Systems,Department of,DRS
Department of Revenue (DOR),Revenue,Department of,DOR
Citizens Commission on Salaries for Elected Officials (WCCSEO),Salaries for Elected Officials,Citizens Commission on,WCCSEO
Salmon Recovery Funding Board (SRFB),NA,NA,SRFB
Governor's Salmon Recovery Office (GSRO),Salmon Recovery Office,Governor's,GSRO
State School Directors' Association (WSSDA),School Directors' Association,State,WSSDA
Office of the Secretary of State (SECSTATE),Secretary of State,Office of the,SECSTATE
Seed Potato Commission (SEED),NA,NA,SEED
Washington State Senate (SENATE),Senate,Washington State,SENATE
Sentencing Guidelines Commission (SGC),NA,NA,SGC
Shorelines Hearings Board (SHB),NA,NA,SHB
Department of Social and Health Services (DSHS),Social and Health Services,Department of,DSHS
Spokane Intercollegiate Research & Technology Institute (SIRTI),NA,NA,SIRTI
State Convention & Trade Center (CTC),NA,NA,CTC
Office of the State Fire Marshal (FIRE),State Fire Marshal,Office of the,FIRE
Washington State Patrol (WSP),State Patrol,Washington,WSP
Supreme Court (SC),NA,NA,SC
Board of Tax Appeals (BTA),Tax Appeals,Board of,BTA
Citizen Commission for Performance Measurement of Tax Preferences (PMTP),Tax Preferences,Citizen Commission for Performance Measurement of,PMTP
Tobacco Settlement Authority (TOB),NA,NA,TOB
Traffic Records Committee (TRC),NA,NA,TRC
Traffic Safety Commission (WTSC),NA,NA,WTSC
State Transportation Commission (STC),Transportation Commission,State,STC
Transportation Improvement Board (TIB),NA,NA,TIB
Department of Transportation (DOT),Transportation,Department of,DOT
Office of the State Treasurer (OST),Treasurer,Office of the State,OST
Tree Fruit Research Commission (TREE),NA,NA,TREE
Turfgrass Seed Commission (TSC),NA,NA,TSC
Public Affairs Network TVW (TVW),TVW,Public Affairs Network,TVW
Utilities and Transportation Commission (UTC),NA,NA,UTC
Department of Veterans Affairs (DVA),Veterans Affairs,Department of,DVA
Board for Volunteer Firefighters & Reserve Officers (BVFF),Volunteer Firefighters & Reserve Officers,Board for,BVFF
Washington Student Achievement Council (WSAC),NA,NA,WSAC
Washington Technology Solutions (WATECH),NA,NA,WATECH
Washington Wellness (WW),NA,NA,WW
Wine Commission (WINE),NA,NA,WINE
Workforce Training and Education Coordinating Board (WTB),NA,NA,WTB
