DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
Chelan County Cemetery District No. 3,3,Cemetery,active,Chelan,Chelan,NA,NA,NA
Chelan County Cemetery District No. 4,4,Cemetery,active,Chelan,Chelan,Chelan,NA,NA
Chelan County Cemetery District No. 5,5,Cemetery,active,Chelan,Chelan,NA,NA,NA
Chelan County Fire Protection District No. 1,1,Fire Protection,active,Chelan,Chelan,NA,NA,NA
Chelan County Fire Protection District No. 10,10,Fire Protection,active,Chelan,Chelan,NA,Stehekin  (2006),NA
Chelan County Fire Protection District No. 2,2,Fire Protection,merged,Chelan,Chelan,NA,NA,Merged with Chelan Fire Protection District No. 1  in 1986
Chelan County Fire Protection District No. 3,3,Fire Protection,active,Chelan,Chelan,"Leavenworth voted to Annex 11/06/2012, effective 01/01/2014",Leavenworth,NA
Chelan County Fire Protection District No. 4,4,Fire Protection,active,Chelan,Chelan,NA,Ponderosa,NA
Chelan County Fire Protection District No. 5,5,Fire Protection,active,Chelan,Chelan,NA,Manson,NA
Chelan County Fire Protection District No. 6,6,Fire Protection,active,Chelan,Chelan,NA,Monitor/Dryden/Cashmere/Peshastin/Blewett Pass,NA
Chelan County Fire Protection District No. 7,7,Fire Protection,active,Chelan,Chelan,Chelan,Chelan Fire and Rescue,NA
Chelan County Fire Protection District No. 8,8,Fire Protection,active,Chelan,Chelan,Entiat,Entiat,NA
Chelan County Fire Protection District No. 9,9,Fire Protection,active,Chelan,Chelan,NA,Lake Wenatchee/Plain,NA
Chelan County Mosquito District No. 1,1,Mosquito Control,active,Chelan,Chelan,NA,Brae Burn,NA
Chelan County Mosquito District No. 2 ,2,Mosquito Control,active,Chelan,Chelan,Leavenworth,Leavenworth Area,NA
Chelan County Public Hospital District No. 1 ,1,Hospital,active,Chelan,Chelan,"Leavenworth
",Cascade Medical Center,NA
Chelan County Public Hospital District No. 2,2,Hospital,active,Chelan,Chelan,Chelan,dba Lake Chelan Community Hospital,NA
Chelan County TV Reception District No. 1 ,1,Television Reception,disposition unknown,Chelan,Chelan,NA,NA,NA
Chelan Falls Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Chelan Falls Water District,NA,Water,active,Chelan,Chelan,NA,NA,Chelan County PUD operates and maintains the Chelan Falls Water System under contract
Chelan River Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Cheney School District No. 360,360,School,active,Spokane,Spokane,"Part Airway Heights, Cheney, Part Spokane",NA,NA
Chewelah School District No. 36,36,School,active,Stevens,Stevens,Chewelah,NA,NA
Chimacum School District No. 49,49,School,active,Jefferson,Jefferson,NA,NA,NA
Chinook Water District,NA,Water,active,Pacific,Pacific,NA,NA,NA
Chippewa Water and Sewer  District,NA,Water/Sewer,active,Pend Oreille,Pend Oreille,NA,NA,Ione area
City of Richland Housing Authority,NA,Housing Authority,active,Benton,Benton,Richland,NA,NA
City of Walla Walla Housing Authority,NA,Housing Authority,active,Walla Walla,Walla Walla,NA,NA,NA
City Transportation Authority,NA,Transportation,active,King,King,NA,Seattle Popular Monorail Authority,NA
Clallam Conservation District,NA,Conservation,active,Clallam,Clallam,NA,NA,NA
Clallam County Fire Protection District No. 1,1,Fire Protection,active,Clallam,Clallam,Forks,Forks,NA
Clallam County Fire Protection District No. 2 (1945),2,Fire Protection,active,Clallam,Clallam,NA,NA,NA
Clallam County Fire Protection District No. 3,3,Fire Protection,active,Clallam,Clallam,Sequim,Sequim,NA
Clallam County Fire Protection District No. 4,4,Fire Protection,active,Clallam,Clallam,NA,Joyce,NA
Clallam County Fire Protection District No. 5,5,Fire Protection,active,Clallam,Clallam,NA,Clallam Bay/Sekiu,NA
Clallam County Fire Protection District No. 6 ,6,Fire Protection,active,Clallam,Clallam,NA,Quillayute Prairie,NA
Clallam County Park and Recreation District No. 1 ,1,Parks,active,Clallam,Clallam,Sequim,Sequim Aquatic Recreation Center,NA
Clallam County Public Transportation Benefit Area,NA,Transportation,active,Clallam,Clallam,"Forks, Port Angeles, Sequim",NA,NA
Clark Conservation District,NA,Conservation,active,Clark,Clark,NA,NA,NA
Clark County Cemetery District No. 1,1,Cemetery,active,Clark,Clark,Part Camas,Camas,NA
Clark County Cemetery District No. 4,4,Cemetery,active,Clark,Clark,NA,Amboy,NA
Clark County Cemetery District No. 5,5,Cemetery,active,Clark,Clark,NA,Woodland,NA
Clark County Cemetery District No. 6,6,Cemetery,active,Clark,Clark,"La Center, Part Battle Ground",Battle Ground,NA
Clark County Diking Improvement District No. 14,14,Dikes,active,Clark,Clark,NA,NA,Vancouver Lake Area along Columbia River
Clark County Drainage District No. 2 ,2,Drainage,active,Clark,Clark,NA,Fargher Lake Area,NA
Clark County Drainage Improvement District No. 5,5,Drainage,active,Clark,Clark,NA,NA,NA
Clark County Emergency Medical Services District No. 2 ,2,Emergency Medical Services,active,Clark,Clark,"Battle Ground, Ridgefield, and Vancouver",Clark Regional Medical Service Program,NA
Clark County Fire and Rescue,NA,Fire Protection,active,Clark,Clark,La Center and Ridgefield,NA,NA
Clark County Fire Protection District No. 1,1,Fire Protection,merged,Clark,Clark,NA,NA,Merged with East County Fire and Rescue 05/2006
Clark County Fire Protection District No. 10,10,Fire Protection,active,Clark,Clark,NA,Amboy/Chelatchie/Fargher Lake/Highland View (1961),NA
Clark County Fire Protection District No. 12,12,Fire Protection,active,Clark,Clark,NA,Ridgefield/La Center,"Voted to merge with Fire District No. 11, 11/04/2008 - Clark County Fire and Rescue"
Clark County Fire Protection District No. 13,13,Fire Protection,active,Clark,Clark,Yacolt,Yacolt,NA
Clark County Fire Protection District No. 2,2,Fire Protection,active,Clark,Clark,NA,Woodland,NA
Clark County Fire Protection District No. 3,3,Fire Protection,active,Clark,Clark,NA,Bush Prairie,NA
Clark County Fire Protection District No. 5,5,Fire Protection,active,Clark,Clark,NA,Vancouver (1954),NA
Clark County Fire Protection District No. 6,6,Fire Protection,active,Clark,Clark,NA,Hazel Dell/Lakeshore/Felida/Salmond Creek/Mt. Vista (1954),NA
Clark County Mosquito Control District,NA,Mosquito Control,active,Clark,Clark,"Battle Ground, Camas, La Center, Ridgefield, Vancouver, Yacolt",NA,NA
Clark County Public Facility District,NA,Public Facilities,active,Clark,Clark,NA,NA,NA
Clark County Public Transportation Benefit Area,NA,Transportation,active,Clark,Clark,"Vancouver. Battle Ground, Camas, La Center, Ridgefield, Vancouver, Washougal, and Yacolt",NA,NA
Clark Regional Wastewater District (1958),NA,Water/Sewer,active,Clark,Clark,NA,NA,Formerly called Hazel Dell Sewer District
Clarkston School District No. J250-185,NA,School,active,Asotin,Asotin,Clarkston,NA,NA
Cle Elum-Roslyn School District No. 404,404,School,active,Kittitas,Kittitas,"Cle Elum, part Roslyn, South Cle Elum",NA,NA
Clear Lake Water District (1992),NA,Water,active,Pierce,Pierce,NA,NA,NA
Cline Irrigation District,NA,Irrigation,active,Clallam,Clallam,NA,NA,NA
Clinton Water District (1945),NA,Water,active,Island,Island,NA,NA,Located in Clinton on the southern end of Whidbey Island
Clover Park School District No. 400,400,School,active,Pierce,Pierce,"Du Pont, part Lakewood, part Tacoma, part University Place",NA,NA
Coal Creek Utility District,NA,Public Utility,active,King,King,NA,NA,"Service area includes Newcastle, Renton. Bellevue assumed all customers inside its city limits into the Bellevue municipal utility in 2003."
Coalfield Park and Recreation,NA,Parks,disposition unknown,King,King,NA,NA,Code still on King County Assessors list
Colfax School District No. 300,300,School,active,Whitman,Whitman,Colfax,NA,NA
College Place School District No. 250,250,School,active,Walla Walla,Walla Walla,"Part College Place, part Walla Walla",NA,NA
Colton School District No. 306,306,School,active,Whitman,Whitman,"Colton, Uniontown",NA,NA
Columbia Conservation District,NA,Conservation,active,Columbia,Columbia,NA,NA,All lands in Columbia county including city of Dayton and Starbuck
Columbia County Fire Protection District No. 1,1,Fire Protection,active,Columbia,Columbia,NA,NA,NA
Columbia County Fire Protection District No. 2,2,Fire Protection,active,Columbia,"Columbia, Walla Walla",NA,Joined with Walla Walla County Fire District No. 2 on 01/19/2004,NA
Columbia County Fire Protection District No. 3,3,Fire Protection,active,Columbia,Columbia,Dayton,Dayton,NA
Columbia County Hearn Irrigation District,NA,Irrigation,active,Columbia,Columbia,NA,NA,Also known as Hearn Irrigation Ditch
Columbia County Mosquito Control District,NA,Mosquito Control,active,Columbia,Columbia,NA,NA,NA
Columbia County Public Hospital District No. 1,1,Hospital,active,Columbia,"Columbia, Walla Walla","Waitsburg, Dayton, Starbuck",NA,County-wide
Columbia County Rural Library District (2005),NA,Library,active,Columbia,Columbia,Dayton,NA,NA
Columbia County Transit Authority (2005),NA,Transportation,active,Columbia,Columbia,Dayton and Starbuck,NA,"Columbia County Public Transportation, Countywide including Dayton and Starbuck"
Columbia Gorge Housing Authority,NA,Housing Authority,active,Skamania,Skamania,NA,NA,"The Columbia Gorge Housing Authority was formed by Skamania County, Klickitat County and the City of Goldendale as a joint housing authority under RCW 35.82.300"
Columbia Irrigation District,NA,Irrigation,active,Benton,Benton,NA,NA,NA
Columbia Mosquito Control District,NA,Mosquito Control,active,Walla Walla,Walla Walla,NA,NA,NA
Columbia School District No. 206,206,School,active,Stevens,Stevens,NA,NA,NA
Columbia School District No. 400,400,School,active,Walla Walla,Walla Walla,NA,NA,NA
Columbia Valley Water District,NA,Water,active,Whatcom,Whatcom,NA,NA,Formerly Evergreen Water-Sewer District No. 19 - Name changed in 2010.
Columbia Water and Power Irrigation District,NA,Water,active,Benton,Benton,NA,NA,NA
Colville School District No. 115,115,School,active,Stevens,Stevens,Colville,NA,NA
Concrete School District No. 11,11,School,active,Skagit,Skagit,Concrete,NA,NA
Consolidated Irrigation District No. 14,14,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Consolidated Irrigation District No. 19,19,Irrigation,active,Spokane,Spokane,NA,NA,Greenacres
Conway School District No. 317,317,School,active,Skagit,Skagit,NA,NA,NA
Corral Springs Water District (1975),NA,Water,active,Douglas,Douglas,NA,NA,Formed to provide domestic water to about 75 customers on 625 acres in the Beebe Orchard Tracts subdivision
Cosmopolis School District No. 99,99,School,active,Grays Harbor,Grays Harbor,"Part Aberdeen, Cosmopolis",NA,NA
Coulee-Hartline School District No. 151,151,School,active,Grant,Grant,"Coulee City, Hartline",NA,NA
Coulee Area (Grand Coulee Dam) Joint Parks and Recreation District,NA,Parks,active,Grant,"Grant, Lincoln, Douglas, Okanogan","Cities of Eclectic City and Grand Coulee , and Towns of Coulee Dam, Coulee City part of the district",NA,NA
County View Water/Sewer District,NA,Water,active,Benton,Benton,NA,NA,Formerly Poplar Heights Sewer District
